UIN,INCIDENT_MONTH,INCIDENT_YEAR,VICTIM_INJURY,STATE,LOCATION,LATITUDE,LONGITUDE,SITE_CATEGORY,SITE_CATEGORY_COMMENT,SHARK_COMMON_NAME,SHARK_SCIENTIFIC_NAME,SHARK_IDENTIFICATION_METHOD,SHARK_IDENTIFICATION_SOURCE,SHARK_LENGTH_M,BASIS_FOR_LENGTH,PROVOKED_UNPROVOKED,PROVOCATIVE_ACT,NO_SHARKS,VICTIM_ACTIVITY,FISH_SPEARED,COMMERCIAL_DIVE_ACTIVITY,OBJECT_OF_BITE,PRESENT_AT_TIME_OF_BITE,DIRECTION_FIRST_STRIKE,SHARK_BEHAVIOUR,VICTIM_AWARE_OF_SHARK,SHARK_CAPTURED,INJURY_LOCATION,INJURY_SEVERITY,VICTIM_GENDER,VICTIM_AGE,VICTIM_CLOTHING,CLOTHING_COVERAGE,DOMINANT_CLOTHING_COLOUR,OTHER_CLOTHING_COLOUR,CLOTHING_PATTERN,FIN_COLOUR,DIVERSIONARY_ACTION_TAKEN,DIVERSIONARY_ACTION_OUTCOME,PEOPLE_LESS_THAN_3M,PEOPLE_3_TO_15M,TIME_OF_INCIDENT,DEPTH_OF_INCIDENT_M,TEETH_RECOVERED,TIME_IN_WATER_MIN,WATER_TEMPERATURE_C,TOTAL_WATER_DEPTH_M,WATER_VISIBILITY_M,DISTANCE_TO_SHORE_M,TIDAL_CYCLE,WIND_CONDITION,WEATHER_CONDITION,AIR_TEMPERATURE_C,PERSONAL_PROTECTIVE_DEVICE,DETERRENT_BRAND_TYPE,DATA_SOURCE,REFERENCE,
217,October,1921,Fatal,QLD,"cairns, elford reef (26 miles east)",-16.9,146.2333333,ocean/pelagic,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,below,bit victim on leg,,,leg,major lacerations,Male,,,,,,,,,,,,,0,,,,,,,,,,,,,media outlet,cairns post 11.10.1921,
218,November,1921,Fatal,QLD,"brisbane river, bulimba beach ",-27.43333333,153.15,river,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,bit another person first,N,,other: body not recovered,,Male,8,,,,,,,,,1,,,1,,,,,,,,,,,,,media outlet,"baldridge & green, whitley 1933, argus 28.11.1921",
219,November,1921,Injured,QLD,"brisbane river, bulimba beach ",-27.43333333,153.15,river,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,bit victim on body,,,"leg, pelvic region",minor lacerations,Male,,,,,,,,punched and kicked shark,,1,,,1,,,,,,,,,,,,,media outlet,"baldridge & green. whitley 1933, argus 28.11.1921",
220,December,1921,Injured,QLD,fitzroy river,-23.38333333,150.55,river,,Bull Shark,Carcharhinus leucas,"shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,bit victim on torso,,,torso,minor lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,the queenslander 17.12.1921,
221,January,1922,Injured,NSW,"stockton beach, newcastle",-32.85,151.8333333,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,behind,bit victim on leg,N,,thigh,minor lacerations,Male,,,,,,,,,,,,,,,,22,,,,,,,,,,media outlet,"green, shark&survl, argus 14.1.1922.",
222,January,1922,Fatal,QLD,"townsville, ross creek",-19.45,146.6,estuary/harbour,,Bull Shark,Carcharhinus leucas,"shark behaviour, geographical location",,,,unprovoked,,4,swimming,,,,"swimming, other sealife (shark/s)",,one shark bit the victim,N,,,major lacerations,Male,54,,,,,,,,,,,,0,,1,,,,,,,,,,,media outlet,"sharpe& green, the brisbane courier 16.1.1922",
223,February,1922,Fatal,NSW,"coogee beach, sydney",-33.91666667,151.25,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,"swimming, other sealife (shark/s)",,bumped victim with nose,N,,arm,major lacerations,Male,19,,,,,,,hit shark with arms,,,,1530,0,,,,,,,,,,,,,media outlet,"coppleson p.81, sharpe, green, argus 6.2.1922.",
224,March,1922,Fatal,NSW,"coogee beach, sydney",-33.91666667,151.25,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,2.5,witness/victim,unprovoked,,1,swimming,,,,"swimming, other sealife (shark/s)",,bit victim on hand,Y,,"hand, torso",major lacerations,Male,21,,,,,,,hit shark,,,,1100,2.5,,,21,1,0,40,,,,,,,media outlet,"baldridge, coppleson, green, sharpe, argus 3.3.1922",
225,December,1922,Fatal,QLD,"maryborough, pialba beach",-25.53333333,152.7,coastal,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,3,witness/victim,unprovoked,,1,swimming,,,,swimming,,bit victim on body,N,,torso,major lacerations,Male,,,,,,,,,,,,,1,,,,,,,,,,,,,media outlet,"green, shark&survl. the argus 6.12.1922",
226,January,1923,Fatal,WA,"swan river, claremont",-31.96666667,115.7666667,river,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour",,,,unprovoked,,1,swimming,,,,,,bit victim on leg,N,,thigh,major lacerations,Male,13,,,,,,,,,,,,0.6,,10,,0.5,,7,,,,,,,media outlet,"green, shark&survl, the argus 29.1.1923",
227,January,1923,Uninjured,NSW,"merewether beach, newcastle",-32.93333333,151.75,coastal,,Great White Shark,Carcharodon carcharias ,"shark behaviour, geographical location",,3.2,,provoked,,1,swimming,,,,swimming,,swam towards victim,,,other: uninjured,,Male,,,,,,,,splashed water,,,,,,,2,,,,200,,,,,,,media outlet,smh 8.1.1923,
228,March,1923,Injured,QLD,"townsville, ross creek",-19.23333333,146.8166667,estuary/harbour,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,swimming,,bit legs,,,leg,minor lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,northern miner 19.3.1923,
229,May,1923,Fatal,QLD,great barrier reef (townsville area),-16.85,146.15,ocean/pelagic,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,provoked,,1,snorkelling,,Y,,,,bit victim on torso,,,torso,major lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,the queenslander 2.6.1923,
230,May,1923,Injured,WA,"geraldton, southgate",-28.81666667,114.6166667,coastal,,Wobbegong,Orectolobidae,"bite analysis, shark behaviour, geographical location",,,,provoked,enticed shark,1,fishing,,,,fishing,,bit victim on foot,,,foot,other: teeth marks,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,west australian 24.5.1923,
231,June,1923,Injured,QLD,townsville area (gbr),-18.7,147.7666667,island open ocean,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,provoked,,1,snorkelling,,Y,,,,,,,,major lacerations,Male,,,,,,,,,,,,,0,,,,,,,,,,,,,media outlet,cairns post 2.7.1923,
232,June,1923,Fatal,NSW,"bellambi, wollongong",-34.35,150.9166667,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,3,swimming,,,,fishing,,bit victim on body,Y,,other: body not recovered,,Male,50,,,,,,,,,,,,,,30,,,,2000,,,,,,,media outlet,"shark&survl, the argus 18.6.1923",
233,October,1923,Injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,coastal,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour",,,,provoked,,,snorkelling,,Y,,,,,N,,arm,major lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,book,green.,
234,November,1923,Fatal,WA,condon creek - broome (area),-20,119.35,coastal,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,provoked,,,,,Y,,,,,N,,other: body not recovered,major lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,"green, shark&survl, the west australian 27.1.1923",
235,November,1923,Fatal,WA,condon creek - broome (area),-20,119.35,coastal,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,provoked,,,,,Y,,,,,N,,other: half of body recovered,major lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,"green, shark&survl, the west australian 27.1.1923",
236,December,1923,Injured,NSW,"tweed river, murwillumbah",-28.31666667,153.4,river,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,bit victim on leg,,,leg,minor lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,the advertiser 12.12.1923,
237,January,1924,Fatal,NSW,"parramatta river, camella, sydney",-33.8,151.0166667,river,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,3.2,witness/victim,unprovoked,,1,swimming,,,,swimming,,bit victim on body,N,,"arm, torso, foot",major lacerations,Male,,,,,,,,hit shark with right hand,,,,1600,1,,2,23,,,,,,,,,,media outlet,green & sharpe p.66. smh 21.1.1924,
238,February,1924,Injured,WA,bunbury,-33.31666667,115.6333333,coastal,,Wobbegong,Orectolobidae,"bite analysis, shark behaviour, geographical location",,0.9,other: media report,unprovoked,,1,swimming,,,,,,bit victim on foot,,,foot,minor lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,bunbury herald 15.2.1924,
239,February,1924,Injured,NSW,"bronte beach, sydney",-33.9,151.2666667,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour",,,,unprovoked,,1,swimming,,,,,,bit victim on leg,N,,"leg, foot",major lacerations,Female,30,,,,,,,,,,,700,1.8,,,23,,,,,,,,,,media outlet,"sharpe, green. the argus 14.2.1924",
240,April,1924,Fatal,NSW,"kiama, wollongong",-34.66666667,150.85,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,,swimming,,,,fishing,,,N,,,major lacerations,Male,20,,,,,,,,,,,,0,,1,19,,,,,,,,,,media outlet,sharks & survival. whitley 1933. the argus 28.4.1924,
241,October,1924,Injured,VIC,"town pier, port melbourne",-37.83333333,144.9333333,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,3,witness/victim,unprovoked,,1,swimming,,,,swimming,,bit victim on leg,N,,leg,major lacerations,Male,,,,,,,,,,,,,0,,,,,,,,,,,,,media outlet,"whitley, green, the mail 18.10.1924",
242,March,1925,Injured,NSW,"coogee beach, sydney",-33.91666667,151.25,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,bit victim on leg,N,,leg,major lacerations,Male,16,,,,,,,,,,,1700,0,,,22,,,,,,,,,,media outlet,"baldridge, green, coppleson/goadby, argus 28.3.1925",
243,March,1925,Fatal,NSW,newcastle beach,-32.91666667,151.7833333,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,3,other: media report,unprovoked,,1,swimming,,,,snorkelling,,bit victim on body,N,,"arm, torso",major lacerations,Male,16,,,,,,,,,,,1530,0,,,22,,,220,,moderate breeze,overcast,,,,media outlet,"coppleson, shark&survl,ndsl journal, smh 13.3.1925",
244,November,1925,Fatal,WA,"cottesloe beach, perth",-31.98333333,115.75,coastal,,Tiger Shark,Galeocerdo cuvier ,direct observation,,4,other: measured captured shark,unprovoked,,1,swimming,,,,,,bit victim on body,N,Y,"torso, leg",major lacerations,Male,55,,,,,,,,,,,,0,,,,8,,40,,,,,,,media outlet,"sharpe, green, shark&survl, argus 30.11.1925",
245,March,1926,Fatal,SA,"brighton pier, adelaide",-34.9,137,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,4,other: media report,unprovoked,,1,swimming,,,,,,bit victim on leg,N,,thigh,major lacerations,Female,,,,,,,,,,,,1600,1,,,,1,,,,,,,,,media outlet,"sharpe, green, shark&survl, argus 19.3.1926",
246,October,1926,Injured,NSW,"yamba, clarence river, maclean",-29.45,153.1833333,river,,Bull Shark,Carcharhinus leucas,"shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,,bit victim ,,,,,Male,,,,,,,,,,,,1600,,,,,,,,,,,,,,media outlet,the queenslander 30.10.1926,
247,November,1926,Injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,provoked,,,snorkelling,,Y,,,,,N,,arm,minor lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,book,"whitley, green, shark&survl.",
248,December,1926,Fatal,QLD,palm island,-18.71666667,146.5666667,island open ocean,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,provoked,,1,snorkelling,,Y,,,,,,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,queenslander 11.12.1926,
249,January,1927,Injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,coastal,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,provoked,,,snorkelling,,Y,,,,,,,"torso, shoulder",minor lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,book,"green, shark&survl, whitley book 1940",
250,January,1927,Fatal,NSW,"greys point, port hacking",-34.05,151.0833333,river,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,4,other: media report,unprovoked,,1,swimming,,,,swimming,,bit victim on body,N,,thigh,major lacerations,Male,15,,,,,,,,,,8,1130,,,,20,,,,,,,,,,media outlet,"green, shark&survl., smh 4.1.1927",
251,February,1927,Uninjured,QLD,brisbane river,-27.46666667,153.0333333,river,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,,behind,attempted to bit legs,,,other: uninjured,,Male,,,,,,,,kicked at shark on two occasions,,1,,,0,,1,,,,,,,,,,,media outlet,northern territory times 11.2.1927,
252,March,1927,Injured,NSW,"merewether beach, newcastle",-32.93333333,151.75,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,3,witness/victim,unprovoked,,1,swimming,,,,swimming,other: side,bit victim on body,Y,,"hand, pelvic region",major lacerations,Male,17,,,,,,,pushed at shark,,,,1500,,,,22,,,50,,,,,,,media outlet,"baldridge, shark&survl.ndls, smh 2.3.1927",
253,April,1927,Injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,1.8,other: media report,provoked,,1,,,Y,,,,bit victim on leg,N,,leg,minor lacerations,Male,,,,,,,,pushed fingers in sharks eyes,,,,,1,,,,1,,,,,,,,,media outlet,"green, shark&survl, the queenslander 15.9.1927",
254,April,1927,Injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,provoked,,,snorkelling,,Y,,,,,N,,leg,major lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,book,sharks & survival.,
255,May,1927,Fatal,QLD,cairns (near),-17.21666667,145.9666667,coastal,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour",,,,unprovoked,,1,swimming,,,,,,bit victim on leg,N,,leg,major lacerations,Male,,,,,,,,,,,,,1,,,,1,,,,,,,,,media outlet,"green, shark&survl, whitely, brisbane courier 10.5.1927",
256,July,1927,Uninjured,WA,broome (area),-17.98333333,122.2333333,Coastal,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,provoked,,1,diving,,Y,,,,,,,other: uninjured,,Male,,wetsuit/drysuit,full body,,,,,,,,,,1,,,,,,,,,,,,,media outlet,western mail 28.7.1927,
257,January,1928,Fatal,QLD,"deliverance island, torres strait",-9.516666667,141.5666667,island open ocean,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,provoked,enticed shark,,,,,,bait and/or berley,,,,,"arm, leg",major lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,brisbane courier 4.2.1933,
258,February,1928,Fatal,QLD,"barrow point, 100 km north of cooktown",-14.15,144.5,island open ocean,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,provoked,,,snorkelling,,Y,,,,,N,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,book,"green, shark&survl, whitely,",
259,March,1928,Injured,QLD,great barrier reef (bowen area),-19.8,149.05,coastal,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,provoked,,1,snorkelling,,Y,,,,bit victim on hip,,,torso,minor lacerations,Male,,,,,,,,,,,,,0,,,,,,,,,,,,,media outlet,townsville daily bulletin 28.3.1928,
260,April,1928,Injured,QLD,"brisbane river, graceville",-27.51666667,152.9833333,river,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,1.2,,unprovoked,,1,swimming,,,,swimming,,bit victim on leg,,,leg,minor lacerations,Male,15,,,,,,,,,,,,0,,,,,,20,,,,,,,media outlet,brisbane courier 7.4.1928,
261,April,1928,Injured,NSW,"bondi beach north, sydney",-33.88333333,151.2666667,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour",,,,unprovoked,,1,swimming,,,,,,bit victim on leg,N,,calf,major lacerations,Male,19,,,,,,,hit shark with fist,,,,1600,0,,,20,,,100,,,,,,,media outlet,sharpe p56. the canberra times 16.4.1928,
262,April,1928,Fatal,NSW,"bar beach, newcastle",-32.93333333,151.75,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,swimming,,bit victim on body,N,,"hand, leg, torso",major lacerations,Male,27,,,,,,,punched and kicked shark,,2,,1800,1,,2,21,,,50,,,,,,,media outlet,"sharpe,green, ndsl journal, smh 5.4.1928",
263,July,1928,Injured,QLD,torres strait,-10.58333333,142.2166667,island open ocean,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,,swimming,,,,,,,N,,"arm, torso",major lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,book,sharks & survival.,
264,December,1928,Injured,QLD,torres strait,-10.58333333,142.2166667,island open ocean,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,provoked,,1,snorkelling,,Y,,,,bit hand,N,,"arm, hand",major lacerations,Male,,,,,,,,hit shark with hand,,,,,,,,,,,,,,,,,,media outlet,"sharks & survival, whitely cairns post 19.2.1929",
265,January,1929,Fatal,QLD,"magnetic island, alma bay",-19.13333333,146.8333333,coastal,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,swimming,,,,swimming,,bit victim on arm,N,,"arm, torso",major lacerations,Male,18,,,,,,,,,,,1730,0,,,,,,,,,,,,,media outlet,"green, the canberra times 29.1.1929",
266,January,1929,Injured,SA,adrossan beach,-34.41666667,137.9166667,coastal,,Wobbegong,Orectolobidae,"bite analysis, shark behaviour, geographical location",,,,provoked,,1,fishing,,Y,Catch,"catch, fishing",,bit victim on leg,Y,Y,leg,other: teeth marks,Male,,,,,,,,killed shark to get it off leg,,,,,,,,,,,,,,,,,,media outlet,register news pictorial 4.3.1929,
267,January,1929,Fatal,NSW,"bondi beach, sydney",-33.88333333,151.2666667,coastal,,Great White Shark,Carcharodon carcharias ,"shark behaviour, geographical location",,4.9,other: media report,unprovoked,,1,swimming,,,,swimming,,bit victim on leg,N,,thigh,major lacerations,Male,14,,,,,,,,,,10,1830,0,,,23,,,40,,,,,,,media outlet,"sharpe, green, smh 14.1.1929",
268,February,1929,Injured,NSW,jervis bay,-35.03333333,150.7166667,coastal,,Wobbegong,Orectolobidae,"bite analysis, shark behaviour, geographical location",,,,provoked,physical contact,1,snorkelling,,,other animal in area,"snorkelling, other sealife (dolphins)",,bit victim on foot,,,foot,minor lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,barrier miner 24.2.1929,
269,February,1929,Fatal,NSW,"maroubra beach, sydney",-33.93333333,151.25,coastal,,Great White Shark,Carcharodon carcharias ,,researcher,,,unprovoked,,1,swimming,,,,"swimming, dead animal nearby (whale)",,bit victim on leg,N,,"leg, hand",major lacerations,Male,19,,,,,,,hit shark with hand,,,3,1600,0,,,22,,,75,High ,,overcast,,,,media outlet,"sharpe, green & coppleson, canberra times 19.2.1929",
270,February,1929,Fatal,NSW,"bondi beach, sydney",-33.88333333,151.2666667,coastal,,Great White Shark,Carcharodon carcharias ,"bite analysis, shark behaviour",,,,unprovoked,,1,swimming,,,,,,bit victim on leg,N,,thigh,major lacerations,Male,39,,,,,,,hit shark with fist,,,,1600,,,,22,4,,,,,,,,,media outlet,"sharpe, whitley 1940, the canberra times 9.2.1929",
271,February,1929,Uninjured,SA,"glenelg, adelaide",-34.96666667,138.5,coastal,,Great White Shark,Carcharodon carcharias ,"shark behaviour, geographical location",,3.6,other: media report,unprovoked,,1,unmotorised boating,,,Vessel,,,bumped canoe with nose,,,other: uninjured,,Female,,,,,,,,hit shark with paddle,,,,,,,,,,,,,,,,,,media outlet,the argus 11.2.1929,
272,March,1929,Injured,QLD,bowen (gbr),-19.51666667,148.8333333,island open ocean,,,,,,,,provoked,,1,snorkelling,,Y,,,,,,,,major lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,bowen independent 30.3.1929,
273,March,1929,Injured,SA,adrossan beach,-34.41666667,137.9166667,coastal,,Wobbegong,Orectolobidae,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,unmotorised boating,,,,boating,,bit victim on foot,,,leg,,Male,12,,,,,,,,,,,,1,,,,,,,,,,,,,media outlet,the barrier miner 5.3.1929,
274,March,1929,Injured,SA,adrossan beach,-34.41666667,137.9166667,coastal,,Wobbegong,Orectolobidae,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,1,unmotorised boating,,,,boating,,bit victim on leg,,,foot,,Male,12,,,,,,,,,,,,1,,,,,,,,,,,,,media outlet,the barrier miner 5.3.1929,
275,March,1929,Fatal,QLD,"torres strait, dauan island",-9.416666667,142.5333333,island open ocean,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,,swimming,,,,,,,N,,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,book,"sharks & survival, whitely.",
276,April,1929,Injured,QLD,mackay,-21,149.8833333,coastal,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,provoked,,1,snorkelling,,Y,,,,bit victim on hand,,,"arm, hand",major lacerations,Male,,,,,,,,,,,,,,,,,,,80000,,,,,,,media outlet,brisbane courier 18.4.1929,
277,April,1929,Injured,QLD,"bribie passage, pumicestone channel",-26.98333333,153.0666667,coastal,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,1.5,,provoked,capture of shark,1,fishing,,Y,,fishing,,bit victim on leg,Y,Y,leg,major lacerations,Male,21,,,,,,,,,,,,1,,,,,,,,,,,,,media outlet,brisbane courier 3.5.1929,
278,April,1929,Fatal,QLD,"torres strait, badu island",-10.11666667,142.1333333,island open ocean,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,,swimming,,,,swimming,,,N,,thigh,major lacerations,Male,,,,,,,,,,,,1200,,,,,,,,,,,,,,other: inquest report,"sharks & survival, inquest report 9.4.1929",
279,May,1929,Injured,QLD,"torres strait, coconut island",-10.05,143.0666667,island open ocean,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,provoked,,1,snorkelling,,Y,,,,bit victim mutliple times,N,,"leg, pelvic region",major lacerations,Male,,,,,,,,hit shark several times,,,,,,,,,,,,,,,,,,media outlet,sharks & survival courier mail 14.1.1950,
280,September,1929,Injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,provoked,,1,spearfishing,,,,spearfishing,,,,,leg,major lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,brisbane courier 28.9.1929,
281,September,1929,Fatal,QLD,"townsville, ross creek",-19.45,146.6,estuary/harbour,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour",,,,unprovoked,,,swimming,,,,,,,N,,leg,major lacerations,Male,42,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,"sharpe, green, argus 2.9.1929.",
282,October,1929,Injured,QLD,"torres strait, badu island",-10.11666667,142.1333333,island open ocean,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,,swimming,,,,,,,N,,foot,major lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,book,sharks & survival.,
283,December,1929,Fatal,QLD,"townsville, ross creek",-19.45,146.6,estuary/harbour,,Bull Shark,Carcharhinus leucas,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,,swimming,,,,,,,,,"torso, leg",major lacerations,Male,50,,,,,,,,,,,,,,,,,,,,,,,,,media outlet,cairns post 4.12.1929,
284,December,1929,Injured,NSW,"collaroy beach, sydney",-33.71666667,151.3,island open ocean,,Wobbegong,Orectolobidae,"bite analysis, shark behaviour",,,,unprovoked,,1,swimming,,,,,,bit victim on leg,,,leg,minor lacerations,Female,17,,,,,,,,,,,,1,,,23,,,30,,,,,,,media outlet,"coppleson, green, shark&survl, argus 17.12.1929",
285,December,1929,Fatal,NSW,"balmain, white bay, sydney harbour",-33.85,151.1833333,estuary/harbour,,Bull Shark,Carcharhinus leucas,shark behaviour,,,,unprovoked,,1,swimming,,,,swimming,,bit victim on leg,N,,"arm, leg, pelvic region",major lacerations,Male,16,,,,,,,,no effect,,,,0,,,22,,,,,,,,,,media outlet,"green, shark&survl, whitely, canberra times 27.12.1929",
286,December,1929,Injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,,swimming,,,,,,,N,,"arm, torso",major lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,book,"green, whitely.",
287,December,1929,Uninjured,QLD,coolangatta beach,-28.16666667,153.5333333,coastal,,,,,,,,unprovoked,,1,swimming,,,,,,close passes,,,other: uninjured,,Male,,,,,,,,hit at shark as it passed by,,,,,,,,,,,,,,,,,,media outlet,the canberra times 24.12.1929,
288,January,1930,Injured,QLD,"torres strait, moa island",-10.15,142.1833333,island open ocean,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,provoked,,1,spearfishing,,,Catch,spearfishing,,bit hand & arm,,,arm,major lacerations,Male,,,,,,,,,,,,,4,,,,,,,,,,,,,media outlet,courier mail 14.1.1950,
289,February,1930,Fatal,VIC,"port philip bay, middle brighton pier",-37.9,144.9833333,coastal,,Great White Shark,Carcharodon carcharias ,"shark behaviour, geographical location, direct observation",,5,witness/victim,unprovoked,,1,swimming,,,,,below,bit victim on legs,N,,other: body not recovered,,Male,19,,,,,,,hit shark with fist,,,,1630,0,,1,,5,,120,,moderate breeze,,,,,media outlet,"sharpe, asaf questionnaire, agrus 17.2.1930, ",
290,February,1930,Injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,,Tiger Shark,Galeocerdo cuvier ,"bite analysis, shark behaviour, geographical location",,,,unprovoked,,,swimming,,,,,,,N,,"arm, torso",major lacerations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,book,whitely.,
